# The three INPUTS of StrongRowView.gatedRate and the OUTPUT it produced, one
# line per recorded second, for three rows written by this app. Read by
# scripts/lock_snap_replay.py; every figure #193 and its pull request quote is
# derived from this file.
#
# FORMAT
#   ROW <key> <label>                       starts a row
#   REC <rate_raw> <lock_rate> <rate_base> <row_stroke_rate>
#                                           one recorded second, in timestamp
#                                           order, all four in spm
#   Lines beginning with # and blank lines are ignored.
#
# WHY FOUR COLUMNS ON ONE LINE, when scripts/fixtures/cue_work_laps.txt holds
# one series and its companion holds the other. gatedRate's ARGUMENT LIST is
# the tuple (median rate, lock period, established rate): the three are read in
# the same call, and a replay that paired a median with a lock from a different
# second would be replaying a machine that never ran. Here alignment is
# intrinsic to the line rather than checked across files. `row_stroke_rate` is
# the fourth column because it is what the call RETURNED -- it is the target
# the transcription is proved against, not a fifth input.
#
# The scoring selectors that gatedRate never sees -- step_type and
# enhanced_speed -- are NOT here. They are in the companion,
# scripts/fixtures/lock_snap_context.txt, for the reason lock_guard_speed.txt
# states for itself: a series the decision never reads must not be able to move
# a figure the decision produces.
#
# PROVENANCE, so this is reproducible from the originals with any FIT decoder:
#   source files   i183553852.fit, i178249719.fit, i174014735.fit
#   values         the developer fields of record messages (FIT global message
#                  20), in timestamp order, no lap filtering of any kind:
#                    rate_raw         developer field id 23
#                    lock_rate        developer field id 20
#                    rate_base        developer field id 24
#                    row_stroke_rate  developer field id 0
#   selection      a record is written here only if it carries ALL FOUR. That
#                  drops 1 record of i178249719's 3003 and none of the other
#                  two rows'.
#   lock period    lock_rate is the RATE. gatedRate takes a PERIOD, so the
#                  replay passes 60/lock_rate and 0.0 for no lock -- the same
#                  inverse StrongRowView.lockRateOf applies on the way out.
#   precision      float32 in the file, written here to 6 decimal places with
#                  trailing zeros stripped. Measured, not assumed: at 6 dp no
#                  record's branch decision or output moves under the shipped
#                  rule or under the guard at any tolerance in 0.07-0.15; at
#                  5 dp and at 4 dp, two records of i183553852 flip branch.
#
# ABSENCE. No record written here is MISSING any of the four columns -- that is
# what the selection rule above guarantees -- so this file needs no absence
# marker, which is stated rather than left to be noticed. A 0 is never absence
# here either; each column has its own in-band meaning for it, and they are not
# the same meaning:
#   rate_raw         0 is "the stroke ring has timed out or nothing has been
#                    measured". It is not a 0 spm cadence.
#   lock_rate        0 is LOCK_RATE_NONE, the app's NO-LOCK sentinel. A real
#                    lock is a rate in [MIN_RATE, MAX_RATE] = [6, 40], so 0 is
#                    out of band by construction (updateAutocorr searches only
#                    lags in [60/MAX_RATE, 60/MIN_RATE]).
#   rate_base        0 is RATE_BASE_NONE, "no established rate yet".
#   row_stroke_rate  0 is the app's NO-DATA sentinel: outputRate() returns 0.0
#                    when nothing has been measured and drawRate renders it
#                    "--.-". The same convention cue_work_laps.txt states.
#
# CROSS-CHECKS a reader can run against the originals, all pinned by
# scripts/test_lock_snap_replay.py:
#   records written           i183553852 3385, i178249719 3002, i174014735 2276
#   the shipped gatedRate replayed from columns 1-3 reproduces column 4 on
#                             3382/3385, 2997/3002 and 2274/2276 records
#   snaps fired (the shipped rule substituting the lock)
#                             643, 356 and 175
#   i183553852 record 2489    rate_raw 18.518518, lock_rate 6.383, output 6.383
#   i183553852 record 2503    rate_raw 10.416667, lock_rate 33.333, output
#                             33.333
#
# THE TEN RECORDS THAT DO NOT REPRODUCE ARE AN UNEXPLAINED RESIDUAL (#194),
# recorded here rather than attributed. Three of them -- i183553852 1490 and
# 3340, i178249719 2941 -- are reproduced exactly by the shipped gatedRate
# evaluated with the NEXT record's lock_rate, i.e. the recorded output is one
# lock update ahead of the recorded lock. The obvious mechanism is RULED OUT at
# source: onTick writes row_stroke_rate at source/StrongRowView.mc:1982 and the
# diagnostics at :2163-2191, both inside the one `if (mStarted && !mPaused)`
# block that opens at :1981 and closes at :2380 (verified at d2cd8a6), and
# nothing between them touches mRate or mAcPeriod. Nothing in this repository
# decodes a file this app wrote, so the cause is not answerable from here.
# scripts/lock_snap_replay.py `reproduce` prints the residual list rather than
# rounding it away, and every figure taken from this fixture is computed from
# the REPLAYED series so the residual cannot contaminate a before/after pair.
ROW i183553852 8x3' strength-endurance, the row #193 was reported from
REC 28.846128 0 29.571568 28.846128
REC 34.090721 0 29.661951 0
REC 36.585381 0 29.800419 0
REC 36.585381 0 29.800419 0
REC 36.585381 0 29.800419 0
REC 36.585381 0 29.936117 0
REC 36.585381 0 29.936117 0
REC 28.846128 0 29.66362 28.846128
REC 28.846128 0 29.66362 28.846128
REC 28.846128 0 29.66362 28.846128
REC 25.861988 25.000002 28.713211 25.861988
REC 25.861988 25.000002 28.713211 25.861988
REC 25.861988 25.000002 28.000404 25.861988
REC 25.861988 25.000002 28.000404 25.861988
REC 25.861988 25.000002 27.465801 25.861988
REC 25.861988 25.000002 27.465801 25.861988
REC 25.861988 25.000002 27.465801 25.861988
REC 25.861988 25.000002 27.465801 25.861988
REC 25.861988 25.86207 27.064848 25.861988
REC 25.861988 25.86207 27.064848 25.861988
REC 25.861988 26.408453 27.064848 25.861988
REC 25.000063 26.408453 26.548653 25.000063
REC 25.000063 26.408453 26.548653 25.000063
REC 25.000063 26.408453 26.548653 25.000063
REC 21.126787 26.408453 25.193186 21.126787
REC 21.126787 26.408453 25.193186 21.126787
REC 21.126787 0 24.176586 21.126787
REC 21.126787 0 24.176586 21.126787
REC 21.126787 0 24.176586 21.126787
REC 21.126787 0 23.414137 21.126787
REC 21.126787 25.000002 23.414137 21.126787
REC 21.739174 25.000002 22.995396 21.739174
REC 21.739174 24.19355 22.995396 21.739174
REC 21.739174 24.19355 22.995396 21.739174
REC 21.739174 23.734179 22.995396 21.739174
REC 21.739174 23.734179 22.681339 21.739174
REC 21.739174 23.466835 22.681339 21.739174
REC 25.000063 23.466835 23.261021 25.000063
REC 25.000063 24.056969 23.261021 25.000063
REC 25.000063 24.056969 23.695782 25.000063
REC 25.000063 24.425514 23.695782 25.000063
REC 25.000063 24.425514 23.695782 25.000063
REC 23.437523 24.652111 23.631218 23.437523
REC 23.437523 24.652111 23.631218 23.437523
REC 23.437523 23.996918 23.582794 23.437523
REC 23.437523 23.996918 23.582794 23.437523
REC 23.437523 23.620256 23.582794 23.437523
REC 23.437523 23.620256 23.546476 23.437523
REC 23.437523 23.399881 23.546476 23.437523
REC 23.437523 23.399881 23.546476 23.437523
REC 22.058813 23.269619 23.174561 22.058813
REC 22.058813 23.269619 23.174561 22.058813
REC 22.058813 22.496502 23.174561 22.058813
REC 21.126787 22.496502 22.662617 21.126787
REC 21.126787 22.056807 22.662617 21.126787
REC 21.126787 22.056807 22.662617 21.126787
REC 21.126787 21.185326 22.662617 21.126787
REC 21.126787 21.185326 22.27866 21.126787
REC 21.126787 20.694727 22.27866 21.126787
REC 21.126787 20.694727 22.27866 21.126787
REC 21.126787 19.870356 22.27866 21.126787
REC 19.230705 19.870356 21.51667 19.230705
REC 19.230705 19.406523 21.51667 19.230705
REC 19.230705 19.406523 21.51667 19.230705
REC 17.2414 18.662251 20.447853 17.2414
REC 17.2414 18.662251 20.447853 17.2414
REC 17.2414 18.242474 20.447853 17.2414
REC 17.2414 18.242474 20.447853 17.2414
REC 16.129093 17.577696 19.368164 16.129093
REC 16.129093 17.577696 19.368164 16.129093
REC 16.129093 16.815908 19.368164 16.129093
REC 16.129093 16.815908 19.368164 16.129093
REC 16.129093 16.755892 18.558395 16.129093
REC 16.129093 16.755892 18.558395 16.129093
REC 16.129093 16.720087 18.558395 16.129093
REC 17.2414 16.720087 18.229147 17.2414
REC 17.2414 16.698679 18.229147 17.2414
REC 17.2414 16.698679 18.229147 17.2414
REC 17.2414 16.68586 18.229147 17.2414
REC 17.2414 16.68586 17.98221 17.2414
REC 17.2414 16.315365 17.98221 17.2414
REC 17.2414 16.315365 17.98221 17.2414
REC 17.441849 16.454092 17.84712 17.441849
REC 17.441849 16.454092 17.84712 17.441849
REC 17.441849 16.538469 17.84712 17.441849
REC 17.647091 16.538469 17.797113 17.647091
REC 17.647091 16.589512 17.797113 17.647091
REC 17.647091 16.589512 17.797113 17.647091
REC 18.29269 16.620287 17.921007 18.29269
REC 18.29269 16.620287 17.921007 18.29269
REC 18.29269 17.411352 17.921007 18.29269
REC 19.230799 17.411352 18.248455 19.230799
REC 19.230799 17.923201 18.248455 19.230799
